Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,1,m,m_m_surfboard_4765.jpg
a man riding a wave on top of a surfboard.,7278,f,surfboard,Flickr,0,m,f_f_surfboard_7278_3.jpg
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,1,m,m_m_surfboard_7278.jpg
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO,1,m,m_m_skateboard_13201.jpg
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,Flickr,0,m,f_f_skateboard_13201_4.jpg
a female tennis player in action on the court.,19432,f,racket,Flickr,1,f,f_f_racket_19432_2.jpg
a woman is playing tennis on a tennis court.,19432,m,racket,COCO,0,f,m_m_racket_19432.jpg
a young man wearing a suit and tie.,21604,f,tie,Flickr,0,m,f_f_tie_21604_1.jpg
a man in a suit and tie is smiling.,21604,m,tie,COCO,1,m,m_m_tie_21604.jpg
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO,1,f,m_f_refrigerator_22705.jpg
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,1,m,m_m_skateboard_31093.jpg
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,Flickr,0,m,f_f_skateboard_31093_5.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_4.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_3.jpg
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_2.jpg
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,1,m,m_m_surfboard_32570.jpg
a baseball player swinging a bat at a ball.,33759,m,sports,COCO,2,n,m_m_sports_33759.jpg
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,1,m,m_m_surfboard_51314.jpg
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,1,m,m_m_surfboard_54164.jpg
a female tennis player in action on the court.,55950,f,racket,Flickr,1,f,f_f_racket_55950_3.jpg
a male tennis player in action on the court.,55950,m,racket,COCO,1,m,m_m_racket_55950.jpg
a female tennis player in action on the court.,64718,f,racket,Flickr,1,f,f_f_racket_64718_1.jpg
