Caption,Filename,Gender,Category,Source,Gender_Correct,Gender_Predict,File,Gender Neutral Caption
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,1,m,m_m_surfboard_4765.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,7278,f,surfboard,Flickr,0,m,f_f_surfboard_7278_3.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,1,m,m_m_surfboard_7278.jpg,a person riding a wave on top of a surfboard.
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO,1,m,m_m_skateboard_13201.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,Flickr,0,m,f_f_skateboard_13201_4.jpg,a person riding a skateboard up the side of a ramp.
a female tennis player in action on the court.,19432,f,racket,Flickr,1,f,f_f_racket_19432_2.jpg,a tennis player in action on the court.
a woman is playing tennis on a tennis court.,19432,m,racket,COCO,0,f,m_m_racket_19432.jpg,a person is playing tennis on a tennis court.
a young man wearing a suit and tie.,21604,f,tie,Flickr,0,m,f_f_tie_21604_1.jpg,a young person wearing a suit and tie.
a man in a suit and tie is smiling.,21604,m,tie,COCO,1,m,m_m_tie_21604.jpg,a person in a suit and tie is smiling.
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO,1,f,m_f_refrigerator_22705.jpg,a person standing in a kitchen next to a refrigerator.
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,1,m,m_m_skateboard_31093.jpg,a person riding a skateboard up the side of a ramp.
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,Flickr,0,m,f_f_skateboard_31093_5.jpg,a person riding a skateboard up the side of a ramp.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_4.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_3.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,Flickr,0,m,f_f_surfboard_32570_2.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,1,m,m_m_surfboard_32570.jpg,a person riding a wave on top of a surfboard.
a baseball player swinging a bat at a ball.,33759,m,sports,COCO,2,n,m_m_sports_33759.jpg,a baseball player swinging a bat at a ball.
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,1,m,m_m_surfboard_51314.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,1,m,m_m_surfboard_54164.jpg,a person riding a wave on top of a surfboard.
a female tennis player in action on the court.,55950,f,racket,Flickr,1,f,f_f_racket_55950_3.jpg,a tennis player in action on the court.
a male tennis player in action on the court.,55950,m,racket,COCO,1,m,m_m_racket_55950.jpg,a tennis player in action on the court.
a female tennis player in action on the court.,64718,f,racket,Flickr,1,f,f_f_racket_64718_1.jpg,a tennis player in action on the court.
a male tennis player in action on the court.,64718,m,racket,COCO,1,m,m_m_racket_64718.jpg,a tennis player in action on the court.
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,1,m,m_m_skateboard_72281.jpg,a person riding a skateboard up the side of a ramp.
a woman holding an umbrella in the rain.,81594,m,handbag,Flickr,0,f,f_m_handbag_81594_3.jpg,a person holding an umbrella in the rain.
a woman holding an umbrella in the rain.,81594,f,handbag,COCO,1,f,m_f_handbag_81594.jpg,a person holding an umbrella in the rain.
a man holding a tennis racquet on a tennis court.,85772,m,racket,COCO,1,m,m_m_racket_85772.jpg,a person holding a tennis racquet on a tennis court.
a woman holding a tennis racquet on a tennis court.,88485,f,frisbee,Flickr,1,f,f_f_frisbee_88485_2.jpg,a person holding a tennis racquet on a tennis court.
a man is throwing a frisbee in the park.,88485,f,frisbee,Flickr,0,m,f_f_frisbee_88485_1.jpg,a person is throwing a frisbee in the park.
