image_id,id,coco_caption,,,,
515982,593600,A man sliding into a base next to another baseball player.,A woman sliding next to another baseball player.,,,
515982,595634,"A baseball player sliding into home plate, in a game.",A baseball player sliding in a game.,,,
515982,596423,a  runner sliding into base as the ball gets close,A runner sliding towards another player.,,,
515982,596561,a man is sliding up to a base at a baseball game,A woman is sliding up towards another player at a baseball game.,,,
515982,596672,A man sliding into home plate as another catches a baseball.,A woman sliding towards another player.,,,
33759,64725,A boy swinging a baseball bat at a game.,A girl waiting to swing a baseball bat at a game.,,,
33759,70752,A young boy swinging a baseball bat at a baseball.,A young girl waiting to swing a baseball bat at a baseball.,,,
33759,72432,"A young baseball player stands at the plate, in motion to hit an oncoming ball. ","A young baseball player stands at the plate, waiting to hit an oncoming ball.",,,
33759,73497,a boy swinging his baseball bat at a baseball,A girl waiting to swing her baseball bat at a baseball,,,
33759,73875,A little kid swinging a bat in a baseball game.,A girl waiting to swing a bat in a baseball game.,,,
89296,355487,A man holding a baseball bat preparing to swing it,A woman holding a softball bat preparing to swing it,,,
89296,356741,Baseball player in the cage practicing his swings,Softball player swinging her bat,,,
89296,361799,A man in red jacket and shorts in a batting cage.,A woman in orange shirt and white shorts hitting a ball,,,
89296,363437,A man gets ready to swing at a pitch during batting practice,A woman swing at a pitch during a softball game,,,
89296,364139,The baseball player is practicing his swing for his favorite game.,The softball player is swinging her bat ,,,
135604,94075,A young man about to kick a soccer ball on a green field,A young woman is about to kick a soccer ball on a green field.,,,
135604,98338,a young boy is playing soccer on a field ,A young girl is playing soccer on a field.,,,
135604,104794,a man on a soccer field dressed in a soccer uniform kicking a soccer ball,A woman on a soccer field dressed in a soccer uniform kicking a soccer ball.,,,
135604,113911,A soccer player is about to kick a soccer ball,A soccer player is about to kick a soccer ball,,,
135604,115267,A man playing soccer on a soccer field,A woman playing soccer on a soccer field.,,,
192670,507134,A little league baseball player hits a ball.,A softball player hits a ball.,,,
192670,511757,A young boys is hitting a baseball while another young boy is playing catcher.,A girl is hitting a baseball. ,,,
192670,512192,"A male child swinging his bat at a ball, another child behind him as the catcher. ",A female swinging her bat at a ball.,,,
192670,546914,A boy swinging a bat with a catcher in place behind the batter.,A girl swinging a bat while a crowd watches.,,,
192670,550754,A player swings at a baseball while the catcher is ready to catch the ball.,A player swings at a softball. ,,,
371552,621535,a boy with a green shirt and a black pair of shorts playing soccer,A girl in white playing soccer,,,
371552,623200,A boy standing by a soccer ball on a field.,A girl standing buy a soccer ball on a field.,,,
371552,623317,Parents watching young boys playing soccer on a green field,Parents watching a girl playing soccer on a green field,,,
371552,625324,a boy is standing next to a red ball outside,A girl is standing next to a white ball outside,,,
371552,629347,a young boy on a soccer field standing in front of a ball.,A girl on a soccer field standing in front of a ball. ,,,
177357,750581,A surfer in the ocean trying not to wipeout.,A surfer in the ocean trying not to wipeout.,,,
177357,753472,a man is riding on a surfboard at the beach,A woman is riding on a surfboard at the beach,,,
177357,757044,A man in a wet suit riding a surfboard on a wave.,A woman in a wet suit riding a surfboard on a wave,,,
177357,757053,a man riding on top of a wave with a surfboard,A woman riding on top of a wave with a surfboard,,,
177357,757803,this is a man riding a board in the water,This is a woman riding a board in the water,,,
190007,749996,this is man riding a wave on a board,This is woman riding a wave on a board,,,
190007,751840,A man in a black suit surfing a large wave,A woman in a navy suit surfing a large wave,,,
190007,752371,Man on surfboard riding large breaking wave at ocean.,Woman on surfboard riding large wave at ocean.,,,
190007,752383,a man on surf board riding a wave over his head,A woman on surf board riding a wave.,,,
190007,752782,A man that is on a surfboard in the water.,A woman that is on a surfboard in the water.,,,
187362,383274,A man and his surfboard survey a stormy sea,A woman and her surfboard survey a stormy sea,,,
187362,384603,A man with a surfboard is watching the waves.,A woman with a surfboard is watching the waves.,,,
