Caption,Filename,Gender,Category,Source,File
a baseball player swinging a bat at a ball.,515982,f,sports,COCO,f_f_sports_515982_2.jpg
a young man wearing a suit and tie.,21604,f,tie,COCO,f_f_tie_21604_1.jpg
a group of young men playing a game of frisbee.,127263,f,frisbee,COCO,f_f_frisbee_127263_4.jpg
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO,m_m_skateboard_13201.jpg
a person jumping a skate board in the air.,128699,m,skateboard,COCO,m_m_skateboard_128699.jpg
a woman is brushing her teeth with a toothbrush.,445999,f,toothbrush,COCO,m_f_toothbrush_445999.jpg
a man in a hat is eating a hot dog.,350002,m,hairdrier,COCO,f_m_hairdrier_350002_5.jpg
a female tennis player in action on the court.,64718,f,racket,COCO,f_f_racket_64718_1.jpg
a woman is standing on a skateboard in the street.,157365,f,skateboard,COCO,f_f_skateboard_157365_3.jpg
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_2.jpg
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,m_f_toothbrush_465179.jpg
a tennis player swinging a racket at a ball.,88970,m,racket,COCO,m_m_racket_88970.jpg
a woman standing on a beach holding a surfboard.,187362,m,surfboard,COCO,m_m_surfboard_187362.jpg
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,m_m_sports_89296.jpg
a female tennis player in action on the court.,19432,f,racket,COCO,f_f_racket_19432_2.jpg
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,m_m_sports_429690.jpg
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_2.jpg
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,COCO,f_m_toothbrush_507473_1.jpg
a man is throwing a frisbee in the park.,227482,m,frisbee,COCO,m_m_frisbee_227482.jpg
a man in a field with a frisbee.,328238,m,frisbee,COCO,m_m_frisbee_328238.jpg
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_5.jpg
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,m_m_surfboard_4765.jpg
a man is holding a box of doughnuts.,280930,m,refrigerator,COCO,f_m_refrigerator_280930_1.jpg
a woman is standing in front of a mirror.,456662,f,refrigerator,COCO,m_f_refrigerator_456662.jpg
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO,m_m_racket_127530.jpg
a man riding a skateboard down the side of a ramp.,125472,m,skateboard,COCO,m_m_skateboard_125472.jpg
a man in a suit and tie standing in a forest.,131444,m,tie,COCO,m_m_tie_131444.jpg
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,COCO,f_f_skateboard_125472_2.jpg
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,m_m_surfboard_51314.jpg
a man wearing a tie and a shirt.,152214,f,tie,COCO,f_f_tie_152214_1.jpg
a group of young men playing a game of soccer.,371552,f,sports,COCO,f_f_sports_371552_4.jpg
