Caption,Filename,Gender,Category,Source,File,Gender_Predict,Gender_Correct
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,m_m_surfboard_4765.jpg,m,1
a man riding a wave on top of a surfboard.,7278,f,surfboard,COCO,f_f_surfboard_7278_3.jpg,m,0
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,m_m_surfboard_7278.jpg,m,1
a young man riding a skateboard down a street.,13201,m,skateboard,COCO,m_m_skateboard_13201.jpg,m,1
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,COCO,f_f_skateboard_13201_4.jpg,m,0
a female tennis player in action on the court.,19432,f,racket,COCO,f_f_racket_19432_2.jpg,f,1
a man on a court with a tennis racket.,19432,m,racket,COCO,m_m_racket_19432.jpg,m,1
a black and white photo of a man in a suit and tie.,21604,f,tie,COCO,f_f_tie_21604_1.jpg,m,0
a close up of a person wearing a suit and tie.,21604,m,tie,COCO,m_m_tie_21604.jpg,n,2
a woman standing in a kitchen next to a refrigerator.,22705,f,refrigerator,COCO,m_f_refrigerator_22705.jpg,m,0
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,m_m_skateboard_31093.jpg,m,1
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,COCO,f_f_skateboard_31093_5.jpg,m,0
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_4.jpg,m,0
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_3.jpg,m,0
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_2.jpg,m,0
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,m_m_surfboard_32570.jpg,m,1
a young boy swinging a baseball bat at a ball.,33759,m,sports,COCO,m_m_sports_33759.jpg,m,1
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,m_m_surfboard_51314.jpg,m,1
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,m_m_surfboard_54164.jpg,m,1
a tennis player swinging a racket at a ball.,55950,f,racket,COCO,f_f_racket_55950_3.jpg,n,2
a man on a court with a tennis racket.,55950,m,racket,COCO,m_m_racket_55950.jpg,m,1
a female tennis player in action on the court.,64718,f,racket,COCO,f_f_racket_64718_1.jpg,f,1
a man holding a tennis racquet on a tennis court.,64718,m,racket,COCO,m_m_racket_64718.jpg,m,1
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,m_m_skateboard_72281.jpg,m,1
a woman holding an umbrella in the rain.,81594,m,handbag,COCO,f_m_handbag_81594_3.jpg,f,0
a woman holding an umbrella in front of a building.,81594,f,handbag,COCO,m_f_handbag_81594.jpg,f,1
a young man holding a tennis racquet on a tennis court.,85772,m,racket,COCO,m_m_racket_85772.jpg,m,1
a woman holding a tennis racket in her hand.,88485,f,frisbee,COCO,f_f_frisbee_88485_2.jpg,f,1
a man is throwing a frisbee in the park.,88485,f,frisbee,COCO,f_f_frisbee_88485_1.jpg,m,0
a man holding a tennis racquet on a tennis court.,88485,m,frisbee,COCO,m_m_frisbee_88485.jpg,m,1
a male tennis player in action on the court.,88970,m,racket,COCO,m_m_racket_88970.jpg,m,1
a tennis player swinging a racket at a ball.,88970,f,racket,COCO,f_f_racket_88970_2.jpg,n,2
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_5.jpg,f,1
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,m_m_sports_89296.jpg,n,2
a young boy swinging a baseball bat at a ball.,89296,f,sports,COCO,f_f_sports_89296_4.jpg,m,0
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,m_m_surfboard_115898.jpg,m,1
a woman riding a wave on top of a surfboard.,115898,f,surfboard,COCO,f_f_surfboard_115898_1.jpg,f,1
a man riding a skateboard down the side of a ramp.,125472,m,skateboard,COCO,m_m_skateboard_125472.jpg,m,1
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,COCO,f_f_skateboard_125472_2.jpg,m,0
a group of young men playing a game of frisbee.,127263,f,frisbee,COCO,f_f_frisbee_127263_4.jpg,m,0
a couple of men playing a game of frisbee.,127263,m,frisbee,COCO,m_m_frisbee_127263.jpg,m,1
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO,m_m_racket_127530.jpg,m,1
a female tennis player in action on the court.,127530,f,racket,COCO,f_f_racket_127530_1.jpg,f,1
a person on a skateboard doing a trick.,128699,m,skateboard,COCO,m_m_skateboard_128699.jpg,n,2
a man in a suit and tie standing in the woods.,131444,m,tie,COCO,m_m_tie_131444.jpg,m,1
a young boy wearing a suit and tie.,131444,f,tie,COCO,f_f_tie_131444_1.jpg,m,0
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO,m_m_sports_135604.jpg,m,1
a soccer player kicking a soccer ball on a field.,135604,f,sports,COCO,f_f_sports_135604_4.jpg,n,2
a man sitting at a table with a cake.,150417,m,refrigerator,COCO,f_m_refrigerator_150417_1.jpg,m,1
a woman sitting at a table with a plate of food.,150417,f,refrigerator,COCO,m_f_refrigerator_150417.jpg,f,1
a man wearing a tie and a shirt.,152214,f,tie,COCO,f_f_tie_152214_1.jpg,m,0
a man in a suit and tie is smiling.,152214,m,tie,COCO,m_m_tie_152214.jpg,m,1
a group of people standing around a luggage.,153529,f,handbag,COCO,m_f_handbag_153529.jpg,n,2
a man standing next to a pile of luggage.,153529,m,handbag,COCO,f_m_handbag_153529_4.jpg,m,1
a woman is standing on a skateboard in the street.,157365,f,skateboard,COCO,f_f_skateboard_157365_3.jpg,f,1
a man riding a skateboard down a street.,157365,m,skateboard,COCO,m_m_skateboard_157365.jpg,m,1
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,m_m_tie_163682.jpg,m,1
a man in a suit and tie standing in a room.,163682,f,tie,COCO,f_f_tie_163682_1.jpg,m,0
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,m_m_surfboard_177357.jpg,m,1
a man riding a wave on top of a surfboard.,177357,f,surfboard,COCO,f_f_surfboard_177357_5.jpg,m,0
a woman standing on a beach holding a surfboard.,187362,m,surfboard,COCO,m_m_surfboard_187362.jpg,f,0
a woman standing on a beach holding a surfboard.,187362,f,surfboard,COCO,f_f_surfboard_187362_4.jpg,f,1
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,m_m_surfboard_190007.jpg,m,1
a young boy swinging a baseball bat at a ball.,192670,m,sports,COCO,m_m_sports_192670.jpg,m,1
a man is throwing a frisbee in a park.,227482,m,frisbee,COCO,m_m_frisbee_227482.jpg,m,1
a man is throwing a frisbee in a park.,227482,f,frisbee,COCO,f_f_frisbee_227482_3.jpg,m,0
a couple of women standing in a kitchen.,280918,f,refrigerator,COCO,m_f_refrigerator_280918.jpg,f,1
a woman is holding a box of doughnuts.,280930,m,refrigerator,COCO,f_m_refrigerator_280930_1.jpg,f,0
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,m_f_refrigerator_280930.jpg,f,1
a black and white photo of a man playing frisbee.,291619,f,frisbee,COCO,f_f_frisbee_291619_2.jpg,m,0
a man is playing tennis on a court.,291619,m,frisbee,COCO,m_m_frisbee_291619.jpg,m,1
a man brushing his teeth with a tooth brush.,324614,f,toothbrush,COCO,m_f_toothbrush_324614.jpg,m,0
a man is throwing a frisbee in a park.,325991,m,frisbee,COCO,m_m_frisbee_325991.jpg,m,1
a group of young men playing a game of frisbee.,328238,m,frisbee,COCO,m_m_frisbee_328238.jpg,m,1
a couple of men playing a game of frisbee.,328238,f,frisbee,COCO,f_f_frisbee_328238_2.jpg,m,0
a young boy holding a hot dog in his hands.,350002,m,hairdrier,COCO,f_m_hairdrier_350002_5.jpg,m,1
a woman sitting on a bed holding a cell phone.,350002,f,hairdrier,COCO,m_f_hairdrier_350002.jpg,f,1
a group of young men playing a game of soccer.,371552,f,sports,COCO,f_f_sports_371552_4.jpg,m,0
a group of young children playing a game of soccer.,371552,m,sports,COCO,m_m_sports_371552.jpg,n,2
a person holding a toothbrush in their hand.,384136,m,hairdrier,COCO,f_m_hairdrier_384136_2.jpg,n,2
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,m_f_hairdrier_384136.jpg,f,1
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,m_m_sports_429690.jpg,n,2
a young boy swinging a baseball bat at a ball.,429690,f,sports,COCO,f_f_sports_429690_1.jpg,m,0
a young girl eating a doughnut with sprinkles.,445999,f,toothbrush,COCO,m_f_toothbrush_445999.jpg,f,1
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_2.jpg,m,1
a close up of a person brushing his teeth.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_1.jpg,n,2
a little girl standing in front of a mirror.,456662,f,refrigerator,COCO,m_f_refrigerator_456662.jpg,f,1
a man standing in front of a refrigerator.,456662,m,refrigerator,COCO,f_m_refrigerator_456662_1.jpg,m,1
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,m_f_toothbrush_465179.jpg,f,1
a man holding a wine glass in his hand.,465179,m,toothbrush,COCO,f_m_toothbrush_465179_1.jpg,m,1
a man in glasses is holding a toothbrush.,507473,m,toothbrush,COCO,f_m_toothbrush_507473_1.jpg,m,1
a man brushing his teeth with a toothbrush.,507473,f,toothbrush,COCO,m_f_toothbrush_507473.jpg,m,0
a baseball player sliding into home base.,515982,f,sports,COCO,f_f_sports_515982_2.jpg,n,2
a baseball player pitching a ball on top of a field.,515982,m,sports,COCO,m_m_sports_515982.jpg,n,2
