image,gt_caption,
f_f_frisbee_127263_1.jpg,A couple of men playing a game of frisbee.,A couple of women playing a game of frisbee.
f_f_frisbee_127263_1.jpg,Two men on opposite teams jumping for a Frisbee.,Two women on opposite teams chasing after a Frisbee.
f_f_frisbee_127263_1.jpg,Two men are reaching to catch a frisbee.,Two women are reaching to catch a frisbee.
f_f_frisbee_127263_1.jpg,Two men playing a game of Frisbee in a field.,Two women playing a game of Frisbee in a field.
f_f_frisbee_127263_1.jpg,"The men are playing a game of Frisbee on the grassy field,",The women are playing a game of Frisbee on the grassy field.
f_f_frisbee_127263_2.jpg,A couple of men playing a game of frisbee.,A couple of women playing a game of frisbee.
f_f_frisbee_127263_2.jpg,Two men on opposite teams jumping for a Frisbee.,Two women on opposite teams jumping for a Frisbee.
f_f_frisbee_127263_2.jpg,Two men are reaching to catch a frisbee.,Two women are reaching to catch a frisbee.
f_f_frisbee_127263_2.jpg,Two men playing a game of Frisbee in a field.,Two women playing a game of Frisbee in a field.
f_f_frisbee_127263_2.jpg,"The men are playing a game of Frisbee on the grassy field,",The women are playing a game of Frisbee on the grassy field.
f_f_frisbee_127263_3.jpg,A couple of men playing a game of frisbee.,A couple of women playing a game of frisbee.
f_f_frisbee_127263_3.jpg,Two men on opposite teams jumping for a Frisbee.,Two women on opposite teams jumping for a Frisbee.
f_f_frisbee_127263_3.jpg,Two men are reaching to catch a frisbee.,Two women are reaching to catch a frisbee.
f_f_frisbee_127263_3.jpg,Two men playing a game of Frisbee in a field.,Two women playing a game of Frisbee in a field.
f_f_frisbee_127263_3.jpg,"The men are playing a game of Frisbee on the grassy field,",The women are playing a game of Frisbee on the grassy field.
f_f_frisbee_127263_5.jpg,A couple of men playing a game of frisbee.,A couple of women playing a game of frisbee.
f_f_frisbee_127263_5.jpg,Two men on opposite teams jumping for a Frisbee.,Two women on opposite teams reaching for a Frisbee.
f_f_frisbee_127263_5.jpg,Two men are reaching to catch a frisbee.,Two women are reaching to catch a frisbee.
f_f_frisbee_127263_5.jpg,Two men playing a game of Frisbee in a field.,Two women playing a game of Frisbee in a field.
f_f_frisbee_127263_5.jpg,"The men are playing a game of Frisbee on the grassy field,",The women are playing a game of Frisbee on the grassy field.
