image_id,caption,new_caption
532481,A man is flying up in the air and having fun. ,a woman is flying up in the air and having fun. 
532481,A guy is waterboarding in the ocean on a windy day.,a woman is waterboarding in the ocean on a windy day.
458755,A child places his hands on the head and neck of a sheep while another sheep looks at his face.,a child places her hands on the head and neck of a sheep while another sheep looks at her face.
385029,A man cuts a pizza to serve with salad and wine. ,a woman cuts a pizza to serve with salad and wine. 
393226,A man who is walking across the street.,a woman who is walking across the street.
393226,a man walks behind an ice cream truck ,a woman walks behind an ice cream truck 
393226,A man is crossing a street near an icecream truck.,a woman is crossing a street near an icecream truck.
393226,The man is walking behind the concession bus.,the woman is walking behind the concession bus.
532493,a male surfer is riding a wave on a sunny day,a woman surfer is riding a wave on a sunny day
532493,A young man riding on a surf board on an ocean wave.,a young woman riding on a surf board on an ocean wave.
8211,"Two men talking to each other on a street corner
","two women talking to each other on a street corner
"
8211,Two men sitting on the street in front of a building.,two women sitting on the street in front of a building.
8211,Two men setting next to each other on the street .,two women setting next to each other on the street .
434204,A man riding on a skateboard on the sidewalk.,a woman riding on a skateboard on the sidewalk.
434204,There is a skateboarder riding his board on the sidewalk,there is a skateboarder riding her board on the sidewalk
466986,A man is smiling for the camera while standing in a kitchen.,a woman is smiling for the camera while standing in a kitchen.
466986,a man is standing inside of a food truck,a woman is standing inside of a food truck
466986,A smiling man is behind the counter at a restaurant. ,a smiling woman is behind the counter at a restaurant. 
466986,A man in a kitchen smiles towards a camera,a woman in a kitchen smiles towards a camera
466986,A man cooks in a kitchen that is made of all stainless steel.,a woman cooks in a kitchen that is made of all stainless steel.
32817,A man climbing on a toilet bowl in a closet,a woman climbing on a toilet bowl in a closet
32817,Two men stand over the green water spilled from a toilet.,two women stand over the green water spilled from a toilet.
32817,Two men working on and repairing a toilet,two woman working on and repairing a toilet
32817,a man with his foot on a toilet and a man holding something in his hand,a woman with her foot on a toilet and a woman holding something in her hand
32817,Two men are doing work in a bathroom.,two woman are doing work in a bathroom.
188465,A man swinging a baseball bat on a field.,a woman swinging a baseball bat on a field.
81988,Four kids sitting on surfboards with man in background.,four kids sitting on surfboards with woman in background.
81988,A man standing on a beach next to four other people.,a woman standing on a beach next to four other people.
376900,Spectators watching a man swinging at a tennis ball.,spectators watching a woman swinging at a tennis ball.
507975,three men riding horses through a grassy field,three woman riding horses through a grassy field
516173,A surfer carries his board while watching another surfer in the water.,a surfer carries her board while watching another surfer in the water.
516173,A surfer heads out towards the waves with his board.,a surfer heads out towards the waves with her board.
442456,A man sits on the tires of a car that rests on the ground. ,a woman sits on the tires of a car that rests on the ground. 
442456,A man in red shirt looking at cellphone next to white truck.,a woman in red shirt looking at cellphone next to white truck.
442456,A low ride pickup truck with no bed and a man sitting on the rear tire.,a low ride pickup truck with no bed and a woman sitting on the rear tire.
442456,a man in a red shirt sitting on the tire of a broken down truck,a woman in a red shirt sitting on the tire of a broken down truck
32861,A man holding an umbrella in a  hallway.,a woman holding an umbrella in a  hallway.
32861,A young man stands inside with an umbrella pouring rain.,a young woman stands inside with an umbrella pouring rain.
32861,A man standing in a hallway with an umbrella and rain coming down.,a woman standing in a hallway with an umbrella and rain coming down.
32861,A man holding an umbrella in a hallway.,a woman holding an umbrella in a hallway.
213086,A man holding an oven door open while he looks in it. ,a woman holding an oven door open while he looks in it. 
213086,a man holds down an oven door as he looks into the oven,a woman holds down an oven door as he looks into the oven
213086,A man is bent over opening an oven.,a woman is bent over opening an oven.
213086,There is a man opening the oven door.,there is a woman opening the oven door.
213086,A man holding open an oven door in a kitchen.,a woman holding open an oven door in a kitchen.
442463,There is a young skateboarder riding his board,there is a young skateboarder riding woman board
49259,A man with his shirt off sitting by the shoreline sunning himself. ,a woman with her shirt off sitting by the shoreline sunning himself. 
49259,A man sitting on a wall next to water next to a barrier,a woman sitting on a wall next to water next to a barrier
49259,A man who is sitting down next to a body of water.,a woman who is sitting down next to a body of water.
221291,Young boy posing in front of a flying kite in the park,young woman posing in front of a flying kite in the park
221291,A little boy standing in the grass with a kite in the sky in the background.,a little woman standing in the grass with a kite in the sky in the background.
221291,A young boy is posing in a large grassy area.,a young woman is posing in a large grassy area.
221291,A little boy standing in a field below a kite.,a little woman standing in a field below a kite.
368752,A young boy sitting in front of a plate of food.,a young woman sitting in front of a plate of food.
368752,A young boy is smiling and he has food around him on a table.,a young woman is smiling and he has food around him on a table.
368752,A little boy that is sitting in front of a table.,a little woman that is sitting in front of a table.
368752,a little boy smiling at someone across the table ,a little woman smiling at someone across the table 
319607,A man is riding on bicycle alongside a new construction building.,a woman is riding on bicycle alongside a new construction building.
417911,A man in a wetsuit surfing a wave on a surf board.,a woman in a wetsuit surfing a wave on a surf board.
417911,a man leaning on a surfboard in the water riding a wave,a woman leaning on a surfboard in the water riding a wave
417911,A surfer is on his board cutting through the waves.,a surfer is on her board cutting through the waves.
417911,A man attempting to stand up on his board and surf a wave. ,a woman attempting to stand up on her board and surf a wave. 
