image_id,id,caption,female_indicator,male_indicator
532481,541125,A person kitesurfing over the waves of the ocean's shore.,0,0
532481,542259,a kite surfer is doing a flying trick over some water,0,0
532481,547713,A man is flying up in the air and having fun. ,0,1
532481,554427,A guy is waterboarding in the ocean on a windy day.,0,1
532481,558036,A person kite boarding in rough seas near the shoreline.,0,0
458755,294690,Young woman with sheep on straw covered floor.,1,0
458755,295065,A child places his hands on the head and neck of a sheep while another sheep looks at his face.,0,0
458755,296922,A person petting the head of a cute fluffy sheep.,0,0
458755,300426,A child is petting a sheep while another sheep watches.,0,0
458755,300753,A woman kneeling to pet animals while others wait. ,1,0
385029,21165,A person cutting a pizza next to a salad and bottles of wine on wooden table.,0,0
385029,21690,A hand is slicing a pizza on a table.,0,0
385029,25641,A man cuts a pizza to serve with salad and wine. ,0,1
385029,30543,"A homemade pizza, salad and two glasses of wine on a table.",0,0
385029,30552,"A slice of pizza, greens, two wine glasses with two bottles on the table ",0,0
311303,83849,A cup with soda in front of a panini with a side of greens.,0,0
311303,85838,"There is a cup of pepsi, And a plate of food.",0,0
311303,86075,A pepsi soda on the table with a tray of bread and vegetables,0,0
311303,87089,A table with a plate of food next to a cup of pepsi.,0,0
311303,87452,A sandwich with salad on a plate and a cup of pop,0,0
393226,525437,A man who is walking across the street.,0,1
393226,526781,A busy intersection with an ice cream truck driving by.,0,0
393226,527105,a man walks behind an ice cream truck ,0,1
393226,527621,A man is crossing a street near an icecream truck.,0,1
393226,529862,The man is walking behind the concession bus.,0,1
532493,36961,A surfer on a white board riding a small wave.,0,0
532493,39088,a male surfer is riding a wave on a sunny day,0,1
532493,40342,Surfer at the height of a large wave looks down. ,0,0
532493,41590,A young man riding on a surf board on an ocean wave.,0,1
532493,43252,A woman surfer riding the waves in the ocean.,1,0
8211,214678,"Two men talking to each other on a street corner
",0,1
8211,215677,Two people are sitting on chairs talking on at a corner.,0,0
8211,216061,Two men sitting on the street in front of a building.,0,1
8211,228649,Street cleaners are taking a rest from work.,0,0
8211,235663,Two men setting next to each other on the street .,0,1
327701,80042,A woman is playing tennis with her children.,1,0
327701,82709,A mother and her children play on a grass tennis court,0,0
327701,82778,A woman hitting a tennis ball with a racquet,1,0
327701,84086,The woman serves the tennis ball as a child watches.,1,0
327701,87863,A woman hits a tennis ball with some kids.,1,0
188439,372931,A colorful truck is driving with a full load of sticks and twigs.,0,0
188439,377677,A truck loaded with cargo slowly creeps down the street.,0,0
188439,379861,a truck on a street with hay in the back,0,0
188439,380239,A small white truck on the road next to trees.,0,0
188439,821777,a big truck with some branches in the back of it ,0,0
434204,290343,A man riding on a skateboard on the sidewalk.,0,1
434204,297756,a kid riding on a skateboard on the cement,0,0
434204,299094,There is a skateboarder riding his board on the sidewalk,0,0
434204,299451,A skateboarder with one fut on a skateboard raising it up.,0,0
434204,308247,A pavement where a person foot are seen having skates. ,0,0
401446,732626,A woman wearing a dress and holding an umbrella.,1,0
401446,732932,The woman in the pink skirt is holding an umbrella. ,1,0
401446,735926,The woman is walking carefully through the leaves.,1,0
401446,737516,A woman in a dress has a handbag and is holding an umbrella.,1,0
401446,743537,A young female in a pink skirt is holding an umbrella.,1,0
213033,471307,A man standing near the water with an umbrella.,0,1
213033,475318,An old man standing on the waters edge with an umbrella. ,0,1
213033,475444,A man in a red jacket standing next to a river.,0,1
213033,476449,A man with an umbrella is smiling on a cloudy day.,0,1
213033,477097,A man in a red jacket holding an umbrella outside near a harbor. ,0,1
466986,616228,A man is smiling for the camera while standing in a kitchen.,0,1
466986,617461,a man is standing inside of a food truck,0,1
466986,617863,A smiling man is behind the counter at a restaurant. ,0,1
466986,619636,A man in a kitchen smiles towards a camera,0,1
466986,622267,A man cooks in a kitchen that is made of all stainless steel.,0,1
213035,74612,Two sets of hands are each holding a cell phone while another hand in the background is holding a glass.,0,0
213035,75191,Two adult hands touching cell phones together as a third watches.,0,0
213035,75830,Two men holding smart phones next to each other.,0,1
213035,80318,Two men are holding phones together to create a linking .,0,1
213035,80639,Two people bump their cell phones together at a party,0,0
319534,107375,A man wearing a t-shirt stands in the door way of a white bus.,0,1
319534,111722,A man in a white tee shirt standing in the door of a bus.,0,1
319534,118961,A person standing in the doorway of a mass transit vehicle.,0,0
319534,120023,A young man standing in the doorway of a bus,0,1
319534,120896,A boy standing in the door of a bus.,0,1
516143,603770,a green and white bus is on the street,0,0
516143,604193,a public transit bus on a city street,0,0
516143,607880,the signs states all directions and points up,0,0
516143,608156,An empty city bus travels down a city street.,0,0
516143,609863,A green and blue bus driving down a street.,0,0
32817,395364,A man climbing on a toilet bowl in a closet,0,1
32817,398202,Two men stand over the green water spilled from a toilet.,0,1
32817,398520,Two men working on and repairing a toilet,0,1
32817,399453,a man with his foot on a toilet and a man holding something in his hand,0,1
32817,401379,Two men are doing work in a bathroom.,0,1
532530,278131,There is a map in the street of the city.,0,0
532530,280255,a bus stop map in a city near a water fountain,0,0
532530,283396,The subway stop Square Victoria entrance and the map of the neighborhood,0,0
532530,283933,A map and street sign with building in background.,0,0
532530,404584,A map of the town in the middle of the street with buildings in the background. ,0,0
188465,492454,A baseball player swings their bat at a ball.,0,0
188465,494026,a baseball game with a batter swinging the bat and fielder awaiting the ball,0,0
188465,494692, Mn swinging a baseball bat on a field.,0,0
188465,495052,Baseball game taking place with a huge crowd in the stands watching. ,0,0
188465,822602,A man swinging a baseball bat on a field.,0,1
434230,596186,A vendor has lots of different vases for sale.,0,0
434230,596222,A view of a bunch of pottery at a very old store.,0,0
434230,744686,People in a shop looking at a wide variety of pottery.,0,0
434230,746045,A family looking at vases and plates in a store.,0,0
434230,747548,Various pots and plates displayed next to a woman.,0,0
475191,779520,A blurry woman is holding a tennis racquet in the air,1,0
475191,780672,A woman running across a tennis court in a shirt skirt.,1,0
475191,781173,a tennis player with a racket on a court ,0,0
475191,784968,A women looks toward the tennis ball she just hit.  ,1,0
475191,789963,A girl swinging a tennis racquet on a court.,1,0
254016,482995,A row of doughnuts being passed through a fryer.,0,0
254016,484117,a conveyor belt with a lot of donuts getting fried up ,0,0
