Caption,Filename,Gender,Category,Source,File,Gender_Predict,Gender_Correct,Gender Neutral Caption
a baseball player sliding into a base.,515982,f,sports,COCO,f_f_sports_515982_2.jpg,n,2,a baseball player sliding into a base.
a black and white photo of a man in a suit.,21604,f,tie,COCO,f_f_tie_21604_1.jpg,m,0,a black and white photo of a person in a suit.
a group of young men playing a game of frisbee.,127263,f,frisbee,COCO,f_f_frisbee_127263_4.jpg,m,0,a group of people playing a game of frisbee.
a person on a skate board in the air.,13201,m,skateboard,COCO,m_m_skateboard_13201.jpg,n,2,a person on a skate board in the air.
a man on a skateboard doing a trick.,128699,m,skateboard,COCO,m_m_skateboard_128699.jpg,m,1,a person on a skateboard doing a trick.
a young girl eating a doughnut with sprinkles.,445999,f,toothbrush,COCO,m_f_toothbrush_445999.jpg,f,1,a young person eating a doughnut with sprinkles.
a young boy holding a hot dog in his hands.,350002,m,hairdrier,COCO,f_m_hairdrier_350002_5.jpg,m,1,a young person holding a hot dog in their hands.
a tennis player swinging a tennis racket.,64718,f,racket,COCO,f_f_racket_64718_1.jpg,n,2,a tennis player swinging a tennis racket.
a woman on a cell phone on a street.,157365,f,skateboard,COCO,f_f_skateboard_157365_3.jpg,f,1,a person on a cell phone on a street.
a close up of a person brushing his teeth.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_2.jpg,n,2,a close up of a person brushing their teeth.
a woman is brushing her teeth in the mirror.,465179,f,toothbrush,COCO,m_f_toothbrush_465179.jpg,f,1,a person is brushing their teeth in the mirror.
a man on a court with a tennis racket.,88970,m,racket,COCO,m_m_racket_88970.jpg,m,1,a person on a court with a tennis racket.
a woman on the beach with a surfboard.,187362,m,surfboard,COCO,m_m_surfboard_187362.jpg,f,0,a person on the beach with a surfboard.
a baseball game in progress.,89296,m,sports,COCO,m_m_sports_89296.jpg,n,2,a baseball game in progress.
a woman on a court with a tennis racket.,19432,f,racket,COCO,f_f_racket_19432_2.jpg,f,1,a person on a court with a tennis racket.
a baseball player holding a bat on a field.,429690,m,sports,COCO,m_m_sports_429690.jpg,n,2,a baseball player holding a bat on a field.
a woman on a tennis court holding a racket.,88970,f,racket,COCO,f_f_racket_88970_2.jpg,f,1,a person on a tennis court holding a racket.
a man in a white shirt brushing his teeth.,507473,m,toothbrush,COCO,f_m_toothbrush_507473_1.jpg,m,1,a person in a white shirt brushing their teeth.
a man in a park holding a frisbee.,227482,m,frisbee,COCO,m_m_frisbee_227482.jpg,m,1,a person in a park holding a frisbee.
a group of young men playing a game of frisbee.,328238,m,frisbee,COCO,m_m_frisbee_328238.jpg,m,1,a group of people playing a game of frisbee.
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_5.jpg,f,1,a tennis player in action on the court.
a person on a surfboard in the water.,4765,m,surfboard,COCO,m_m_surfboard_4765.jpg,n,2,a person on a surfboard in the water.
