image_id,caption
532481,A man is flying up in the air and having fun. 
532481,A guy is waterboarding in the ocean on a windy day.
458755,Young woman with sheep on straw covered floor.
458755,A child places his hands on the head and neck of a sheep while another sheep looks at his face.
458755,A woman kneeling to pet animals while others wait. 
385029,A man cuts a pizza to serve with salad and wine. 
393226,A man who is walking across the street.
393226,a man walks behind an ice cream truck 
393226,A man is crossing a street near an icecream truck.
393226,The man is walking behind the concession bus.
532493,a male surfer is riding a wave on a sunny day
532493,A young man riding on a surf board on an ocean wave.
532493,A woman surfer riding the waves in the ocean.
8211,"Two men talking to each other on a street corner
"
8211,Two men sitting on the street in front of a building.
8211,Two men setting next to each other on the street .
327701,A woman is playing tennis with her children.
327701,A mother and her children play on a grass tennis court
327701,A woman hitting a tennis ball with a racquet
327701,The woman serves the tennis ball as a child watches.
327701,A woman hits a tennis ball with some kids.
434204,A man riding on a skateboard on the sidewalk.
434204,There is a skateboarder riding his board on the sidewalk
401446,A woman wearing a dress and holding an umbrella.
401446,The woman in the pink skirt is holding an umbrella. 
401446,The woman is walking carefully through the leaves.
401446,A woman in a dress has a handbag and is holding an umbrella.
401446,A young female in a pink skirt is holding an umbrella.
466986,A man is smiling for the camera while standing in a kitchen.
466986,a man is standing inside of a food truck
466986,A smiling man is behind the counter at a restaurant. 
466986,A man in a kitchen smiles towards a camera
466986,A man cooks in a kitchen that is made of all stainless steel.
32817,A man climbing on a toilet bowl in a closet
32817,Two men stand over the green water spilled from a toilet.
32817,Two men working on and repairing a toilet
32817,a man with his foot on a toilet and a man holding something in his hand
32817,Two men are doing work in a bathroom.
188465,A man swinging a baseball bat on a field.
475191,A blurry woman is holding a tennis racquet in the air
475191,A woman running across a tennis court in a shirt skirt.
475191,A women looks toward the tennis ball she just hit.  
475191,A girl swinging a tennis racquet on a court.
81988,Four kids sitting on surfboards with man in background.
81988,A man standing on a beach next to four other people.
376900,Spectators watching a man swinging at a tennis ball.
507975,three men riding horses through a grassy field
516173,A woman in a wet suit carrying a surfboard into the ocean.
516173,A woman entering the ocean with a surfboard
516173,A surfer carries his board while watching another surfer in the water.
516173,A woman walks down the water with a surfboard.
516173,A surfer heads out towards the waves with his board.
442456,A man sits on the tires of a car that rests on the ground. 
442456,A man in red shirt looking at cellphone next to white truck.
442456,A low ride pickup truck with no bed and a man sitting on the rear tire.
442456,a man in a red shirt sitting on the tire of a broken down truck
32861,A man holding an umbrella in a  hallway.
32861,A young man stands inside with an umbrella pouring rain.
32861,A man standing in a hallway with an umbrella and rain coming down.
32861,A man holding an umbrella in a hallway.
213086,A man holding an oven door open while he looks in it. 
213086,a man holds down an oven door as he looks into the oven
