Caption,Filename,Gender,Category,Source,File,Gender Neutral Caption
a baseball player swinging a bat at a ball.,515982,f,sports,COCO,f_f_sports_515982_2.jpg,a baseball player swinging a bat at a ball.
a young man wearing a suit and tie.,21604,f,tie,COCO,f_f_tie_21604_1.jpg,a young person wearing a suit and tie.
a group of young men playing a game of frisbee.,127263,f,frisbee,COCO,f_f_frisbee_127263_4.jpg,a group of people playing a game of frisbee.
a man riding a skateboard up the side of a ramp.,13201,m,skateboard,COCO,m_m_skateboard_13201.jpg,a person riding a skateboard up the side of a ramp.
a person jumping a skate board in the air.,128699,m,skateboard,COCO,m_m_skateboard_128699.jpg,a person jumping a skate board in the air.
a woman is brushing her teeth with a toothbrush.,445999,f,toothbrush,COCO,m_f_toothbrush_445999.jpg,a person is brushing their teeth with a toothbrush.
a man in a hat is eating a hot dog.,350002,m,hairdrier,COCO,f_m_hairdrier_350002_5.jpg,a person in a hat is eating a hot dog.
a female tennis player in action on the court.,64718,f,racket,COCO,f_f_racket_64718_1.jpg,a tennis player in action on the court.
a woman is standing on a skateboard in the street.,157365,f,skateboard,COCO,f_f_skateboard_157365_3.jpg,a person is standing on a skateboard in the street.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_2.jpg,a person brushing their teeth with a tooth brush.
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,m_f_toothbrush_465179.jpg,a person brushing their teeth in a bathroom.
a tennis player swinging a racket at a ball.,88970,m,racket,COCO,m_m_racket_88970.jpg,a tennis player swinging a racket at a ball.
a woman standing on a beach holding a surfboard.,187362,m,surfboard,COCO,m_m_surfboard_187362.jpg,a person standing on a beach holding a surfboard.
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,m_m_sports_89296.jpg,a baseball player swinging a bat at a ball.
a female tennis player in action on the court.,19432,f,racket,COCO,f_f_racket_19432_2.jpg,a tennis player in action on the court.
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,m_m_sports_429690.jpg,a baseball player swinging a bat at a ball.
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_2.jpg,a tennis player in action on the court.
a man taking a selfie in a bathroom mirror.,507473,m,toothbrush,COCO,f_m_toothbrush_507473_1.jpg,a person taking a selfie in a bathroom mirror.
a man is throwing a frisbee in the park.,227482,m,frisbee,COCO,m_m_frisbee_227482.jpg,a person is throwing a frisbee in the park.
a man in a field with a frisbee.,328238,m,frisbee,COCO,m_m_frisbee_328238.jpg,a person in a field with a frisbee.
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_5.jpg,a tennis player in action on the court.
a man riding a wave on top of a surfboard.,4765,m,surfboard,COCO,m_m_surfboard_4765.jpg,a person riding a wave on top of a surfboard.
a man is holding a box of doughnuts.,280930,m,refrigerator,COCO,f_m_refrigerator_280930_1.jpg,a person is holding a box of doughnuts.
a woman is standing in front of a mirror.,456662,f,refrigerator,COCO,m_f_refrigerator_456662.jpg,a person is standing in front of a mirror.
a man holding a tennis racquet on a tennis court.,127530,m,racket,COCO,m_m_racket_127530.jpg,a person holding a tennis racquet on a tennis court.
a man riding a skateboard down the side of a ramp.,125472,m,skateboard,COCO,m_m_skateboard_125472.jpg,a person riding a skateboard down the side of a ramp.
a man in a suit and tie standing in a forest.,131444,m,tie,COCO,m_m_tie_131444.jpg,a person in a suit and tie standing in a forest.
a man riding a skateboard up the side of a ramp.,125472,f,skateboard,COCO,f_f_skateboard_125472_2.jpg,a person riding a skateboard up the side of a ramp.
a man riding a wave on top of a surfboard.,51314,m,surfboard,COCO,m_m_surfboard_51314.jpg,a person riding a wave on top of a surfboard.
a man wearing a tie and a shirt.,152214,f,tie,COCO,f_f_tie_152214_1.jpg,a person wearing a tie and a shirt.
a group of young men playing a game of soccer.,371552,f,sports,COCO,f_f_sports_371552_4.jpg,a group of people playing a game of soccer.
a man is brushing his teeth with a toothbrush.,465179,m,toothbrush,COCO,f_m_toothbrush_465179_1.jpg,a person is brushing their teeth with a toothbrush.
a group of young men playing a game of frisbee.,291619,f,frisbee,COCO,f_f_frisbee_291619_2.jpg,a group of people playing a game of frisbee.
a woman is sitting on a bed with a book.,350002,f,hairdrier,COCO,m_f_hairdrier_350002.jpg,a person is sitting on a bed with a book.
a man in a suit sitting at a table.,163682,m,tie,COCO,m_m_tie_163682.jpg,a person in a suit sitting at a table.
a female tennis player in action on the court.,55950,f,racket,COCO,f_f_racket_55950_3.jpg,a tennis player in action on the court.
a woman standing next to a luggage cart filled with luggage.,153529,f,handbag,COCO,m_f_handbag_153529.jpg,a person standing next to a luggage cart filled with luggage.
a man riding a wave on top of a surfboard.,7278,f,surfboard,COCO,f_f_surfboard_7278_3.jpg,a person riding a wave on top of a surfboard.
a group of men playing a game of frisbee.,328238,f,frisbee,COCO,f_f_frisbee_328238_2.jpg,a group of person playing a game of frisbee.
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO,m_m_sports_135604.jpg,a young person kicking a soccer ball on a field.
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_4.jpg,a person riding a wave on top of a surfboard.
a woman holding a tennis racket in her hands.,88485,f,frisbee,COCO,f_f_frisbee_88485_2.jpg,a person holding a tennis racket in their hands.
a man riding a skateboard down a street.,157365,m,skateboard,COCO,m_m_skateboard_157365.jpg,a person riding a skateboard down a street.
two men playing frisbee in a park.,291619,m,frisbee,COCO,m_m_frisbee_291619.jpg,two people playing frisbee in a park.
a man standing in front of a refrigerator.,456662,m,refrigerator,COCO,f_m_refrigerator_456662_1.jpg,a person standing in front of a refrigerator.
a man riding a skateboard up the side of a ramp.,31093,m,skateboard,COCO,m_m_skateboard_31093.jpg,a person riding a skateboard up the side of a ramp.
a man riding a wave on top of a surfboard.,177357,m,surfboard,COCO,m_m_surfboard_177357.jpg,a person riding a wave on top of a surfboard.
a group of men playing a game of frisbee.,127263,m,frisbee,COCO,m_m_frisbee_127263.jpg,a group of person playing a game of frisbee.
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,m_f_refrigerator_280930.jpg,a person standing in a kitchen preparing food.
a man riding a wave on top of a surfboard.,177357,f,surfboard,COCO,f_f_surfboard_177357_5.jpg,a person riding a wave on top of a surfboard.
a young boy swinging a baseball bat at a ball.,429690,f,sports,COCO,f_f_sports_429690_1.jpg,a young person swinging a baseball bat at a ball.
a male tennis player in action on the court.,64718,m,racket,COCO,m_m_racket_64718.jpg,a tennis player in action on the court.
a baseball player swinging a bat at a ball.,192670,m,sports,COCO,m_m_sports_192670.jpg,a baseball player swinging a bat at a ball.
a tennis player swinging a racket at a ball.,19432,m,racket,COCO,m_m_racket_19432.jpg,a tennis player swinging a racket at a ball.
a man in a white shirt is throwing a frisbee.,88485,f,frisbee,COCO,f_f_frisbee_88485_1.jpg,a person in a white shirt is throwing a frisbee.
a man riding a wave on top of a surfboard.,7278,m,surfboard,COCO,m_m_surfboard_7278.jpg,a person riding a wave on top of a surfboard.
a woman holding an umbrella in the rain.,81594,m,handbag,COCO,f_m_handbag_81594_3.jpg,a person holding an umbrella in the rain.
a man riding a wave on top of a surfboard.,190007,m,surfboard,COCO,m_m_surfboard_190007.jpg,a person riding a wave on top of a surfboard.
a man riding a skateboard up the side of a ramp.,13201,f,skateboard,COCO,f_f_skateboard_13201_4.jpg,a person riding a skateboard up the side of a ramp.
a woman standing in a kitchen next to a stove.,280918,f,refrigerator,COCO,m_f_refrigerator_280918.jpg,a person standing in a kitchen next to a stove.
a black and white photo of a man throwing a frisbee.,227482,f,frisbee,COCO,f_f_frisbee_227482_3.jpg,a black and white photo of a person throwing a frisbee.
a man brushing his teeth with a tooth brush.,324614,f,toothbrush,COCO,m_f_toothbrush_324614.jpg,a person brushing their teeth with a tooth brush.
a tennis player swinging a racket at a ball.,55950,m,racket,COCO,m_m_racket_55950.jpg,a tennis player swinging a racket at a ball.
a young boy swinging a baseball bat at a ball.,89296,f,sports,COCO,f_f_sports_89296_4.jpg,a young person swinging a baseball bat at a ball.
a man in a suit and tie is smiling.,21604,m,tie,COCO,m_m_tie_21604.jpg,a person in a suit and tie is smiling.
a man riding a skateboard up the side of a ramp.,72281,m,skateboard,COCO,m_m_skateboard_72281.jpg,a person riding a skateboard up the side of a ramp.
a man brushing his teeth with a tooth brush.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_1.jpg,a person brushing their teeth with a tooth brush.
a man holding a frisbee in his hands.,88485,m,frisbee,COCO,m_m_frisbee_88485.jpg,a person holding a frisbee in their hands.
a young boy holding a baseball bat on a field.,33759,m,sports,COCO,m_m_sports_33759.jpg,a young person holding a baseball bat on a field.
a man riding a wave on top of a surfboard.,115898,m,surfboard,COCO,m_m_surfboard_115898.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_3.jpg,a person riding a wave on top of a surfboard.
a man holding a nintendo wii game controller.,384136,m,hairdrier,COCO,f_m_hairdrier_384136_2.jpg,a person holding a nintendo wii game controller.
a man riding a wave on top of a surfboard.,115898,f,surfboard,COCO,f_f_surfboard_115898_1.jpg,a person riding a wave on top of a surfboard.
a man riding a wave on top of a surfboard.,32570,f,surfboard,COCO,f_f_surfboard_32570_2.jpg,a person riding a wave on top of a surfboard.
a young man wearing a suit and tie.,131444,f,tie,COCO,f_f_tie_131444_1.jpg,a young person wearing a suit and tie.
a man riding a skateboard up the side of a ramp.,31093,f,skateboard,COCO,f_f_skateboard_31093_5.jpg,a person riding a skateboard up the side of a ramp.
a soccer player kicking a soccer ball on a field.,135604,f,sports,COCO,f_f_sports_135604_4.jpg,a soccer player kicking a soccer ball on a field.
a female tennis player in action on the court.,127530,f,racket,COCO,f_f_racket_127530_1.jpg,a tennis player in action on the court.
a man brushing his teeth with a tooth brush.,507473,f,toothbrush,COCO,m_f_toothbrush_507473.jpg,a person brushing their teeth with a tooth brush.
a woman holding a cell phone up to her ear.,384136,f,hairdrier,COCO,m_f_hairdrier_384136.jpg,a person holding a cell phone up to their ear.
a man riding a wave on top of a surfboard.,32570,m,surfboard,COCO,m_m_surfboard_32570.jpg,a person riding a wave on top of a surfboard.
a young man kicking a soccer ball across a field.,371552,m,sports,COCO,m_m_sports_371552.jpg,a young person kicking a soccer ball across a field.
a woman standing on a beach holding a surfboard.,187362,f,surfboard,COCO,f_f_surfboard_187362_4.jpg,a person standing on a beach holding a surfboard.
a baseball player swinging a bat at a ball.,515982,m,sports,COCO,m_m_sports_515982.jpg,a baseball player swinging a bat at a ball.
a woman sitting at a table with a cake.,150417,m,refrigerator,COCO,f_m_refrigerator_150417_1.jpg,a person sitting at a table with a cake.
a woman walking down a street holding an umbrella.,81594,f,handbag,COCO,m_f_handbag_81594.jpg,a person walking down a street holding an umbrella.
a man standing next to a pile of luggage.,153529,m,handbag,COCO,f_m_handbag_153529_4.jpg,a person standing next to a pile of luggage.
a man riding a wave on top of a surfboard.,54164,m,surfboard,COCO,m_m_surfboard_54164.jpg,a person riding a wave on top of a surfboard.
a woman standing in front of a refrigerator.,22705,f,refrigerator,COCO,m_f_refrigerator_22705.jpg,a person standing in front of a refrigerator.
