Caption,Filename,Gender,Category,Source,File,Unnamed: 6,Gender_Predict,Gender_Correct
a baseball player sliding into a base.,515982,f,sports,COCO,f_f_sports_515982_2.jpg,,n,2
a black and white photo of a man in a suit.,21604,f,tie,COCO,f_f_tie_21604_1.jpg,,m,0
a group of young men playing a game of frisbee.,127263,f,frisbee,COCO,f_f_frisbee_127263_4.jpg,,m,0
a person on a skateboard on a street.,13201,m,skateboard,COCO,m_m_skateboard_13201.jpg,,n,2
a person on a skateboard on a ramp.,128699,m,skateboard,COCO,m_m_skateboard_128699.jpg,,n,2
a close up of a person holding a banana.,445999,f,toothbrush,COCO,m_f_toothbrush_445999.jpg,,n,2
a young boy holding a hot dog in his hands.,350002,m,hairdrier,COCO,f_m_hairdrier_350002_5.jpg,,m,1
a female tennis player in action on the court.,64718,f,racket,COCO,f_f_racket_64718_1.jpg,,f,1
a woman on a long long long long.,157365,f,skateboard,COCO,f_f_skateboard_157365_3.jpg,,f,1
a close up of a person brushing his teeth.,445999,m,toothbrush,COCO,f_m_toothbrush_445999_2.jpg,,n,2
a woman brushing her teeth in a bathroom.,465179,f,toothbrush,COCO,m_f_toothbrush_465179.jpg,,f,1
a man on a court with a tennis racket.,88970,m,racket,COCO,m_m_racket_88970.jpg,,m,1
a woman standing on a beach holding a surfboard.,187362,m,surfboard,COCO,m_m_surfboard_187362.jpg,,f,0
a baseball player swinging a bat at a ball.,89296,m,sports,COCO,m_m_sports_89296.jpg,,n,2
a female tennis player in action on the court.,19432,f,racket,COCO,f_f_racket_19432_2.jpg,,f,1
a baseball player swinging a bat at a ball.,429690,m,sports,COCO,m_m_sports_429690.jpg,,n,2
a woman on a court with a tennis racket.,88970,f,racket,COCO,f_f_racket_88970_2.jpg,,f,1
a man in glasses is brushing his teeth.,507473,m,toothbrush,COCO,f_m_toothbrush_507473_1.jpg,,m,1
a man in a white shirt is throwing a frisbee.,227482,m,frisbee,COCO,m_m_frisbee_227482.jpg,,m,1
a group of young men playing a game of frisbee.,328238,m,frisbee,COCO,m_m_frisbee_328238.jpg,,m,1
a female tennis player in action on the court.,88970,f,racket,COCO,f_f_racket_88970_5.jpg,,f,1
a person on a surfboard in the water.,4765,m,surfboard,COCO,m_m_surfboard_4765.jpg,,n,2
a woman is standing in front of an open box of doughnuts.,280930,m,refrigerator,COCO,f_m_refrigerator_280930_1.jpg,,f,0
a little girl standing in front of a mirror.,456662,f,refrigerator,COCO,m_f_refrigerator_456662.jpg,,f,1
a tennis player getting ready to hit the ball.,127530,m,racket,COCO,m_m_racket_127530.jpg,,n,2
a man on a skateboard on a ramp.,125472,m,skateboard,COCO,m_m_skateboard_125472.jpg,,m,1
a man in a suit and tie standing in front of trees.,131444,m,tie,COCO,m_m_tie_131444.jpg,,m,1
a person on a skateboard on a ramp.,125472,f,skateboard,COCO,f_f_skateboard_125472_2.jpg,,n,2
a man on a surfboard riding a wave.,51314,m,surfboard,COCO,m_m_surfboard_51314.jpg,,m,1
a close up of a person wearing a tie.,152214,f,tie,COCO,f_f_tie_152214_1.jpg,,n,2
a group of young men playing a game of soccer.,371552,f,sports,COCO,f_f_sports_371552_4.jpg,,m,0
a man holding a wine glass in his hand.,465179,m,toothbrush,COCO,f_m_toothbrush_465179_1.jpg,,m,1
a black and white photo of a man playing frisbee.,291619,f,frisbee,COCO,f_f_frisbee_291619_2.jpg,,m,0
a woman sitting on a bed holding a cell phone.,350002,f,hairdrier,COCO,m_f_hairdrier_350002.jpg,,f,1
a man in a suit and tie sitting in a chair.,163682,m,tie,COCO,m_m_tie_163682.jpg,,m,1
a man on a tennis court holding a racket.,55950,f,racket,COCO,f_f_racket_55950_3.jpg,,m,0
a group of people standing around a luggage.,153529,f,handbag,COCO,m_f_handbag_153529.jpg,,n,2
a man on a surfboard riding a wave.,7278,f,surfboard,COCO,f_f_surfboard_7278_3.jpg,,m,0
a group of young men playing a game of frisbee.,328238,f,frisbee,COCO,f_f_frisbee_328238_2.jpg,,m,0
a young boy kicking a soccer ball on a field.,135604,m,sports,COCO,m_m_sports_135604.jpg,,m,1
a man on a surfboard riding a wave.,32570,f,surfboard,COCO,f_f_surfboard_32570_4.jpg,,m,0
a woman holding a tennis racket in her hand.,88485,f,frisbee,COCO,f_f_frisbee_88485_2.jpg,,f,1
a man on a skateboard on the street.,157365,m,skateboard,COCO,m_m_skateboard_157365.jpg,,m,1
a person on a field with a frisbee.,291619,m,frisbee,COCO,m_m_frisbee_291619.jpg,,n,2
a man standing in front of a refrigerator.,456662,m,refrigerator,COCO,f_m_refrigerator_456662_1.jpg,,m,1
a person on a skateboard on a ramp.,31093,m,skateboard,COCO,m_m_skateboard_31093.jpg,,n,2
a man on a surfboard riding a wave.,177357,m,surfboard,COCO,m_m_surfboard_177357.jpg,,m,1
a couple of men playing a game of frisbee.,127263,m,frisbee,COCO,m_m_frisbee_127263.jpg,,m,1
a woman standing in a kitchen preparing food.,280930,f,refrigerator,COCO,m_f_refrigerator_280930.jpg,,f,1
a man on a surfboard riding a wave.,177357,f,surfboard,COCO,f_f_surfboard_177357_5.jpg,,m,0
